Year,Date,Day,Pet,Dies,HSP
2016,1-3,Sun,3237,3515,280
2016,1-4,Mon,3735,5748,192
2016,1-5,Tue,3111,4762,535
2016,1-6,Wed,3094,4077,441
2016,1-7,Thu,3236,3987,357
2016,1-8,Fri,3155,3437,212
2016,1-9,Sat,3503,4385,21
2016,1-10,Sun,2924,4451,543
2016,1-11,Mon,3231,5319,614
2016,1-12,Tue,3366,4274,352
2016,1-13,Wed,2613,4361,910
2016,1-14,Thu,2912,5522,1116
2016,1-15,Fri,3280,3078,391
2016,1-16,Sat,3437,3441,274
2016,1-17,Sun,3584,3285,149
2016,1-18,Mon,3185,3661,197
2016,1-19,Tue,2908,4386,146
2016,1-20,Wed,3499,4355,139
2016,1-21,Thu,3262,4115,264
2016,1-22,Fri,3321,3782,482
2016,1-23,Sat,3209,3602,227
2016,1-24,Sun,3727,3775,138
2016,1-25,Mon,3703,3526,160
2016,1-26,Tue,3081,3862,164
2016,1-27,Wed,2847,5593,363
2016,1-28,Thu,3809,4505,279
2016,1-29,Fri,3440,4557,158
2016,1-30,Sat,3219,3740,281
2016,1-31,Sun,3450,4950,441
2016,2-1,Mon,3698,4263,393
2016,2-2,Tue,3478,4574,498
2016,2-3,Wed,3563,4211,169
2016,2-4,Thu,3576,7013,427
2016,2-5,Fri,3267,4164,450
2016,2-6,Sat,3713,3896,264
2016,2-7,Sun,3338,4284,190
2016,2-8,Mon,3201,4437,396
2016,2-9,Tue,2889,4178,112
2016,2-10,Wed,3603,4127,154
2016,2-11,Thu,3476,4956,226
2016,2-12,Fri,3443,4555,256
2016,2-13,Sat,3270,4584,289
2016,2-14,Sun,3342,4513,296
2016,2-15,Mon,3169,4030,347
2016,2-16,Tue,3421,4877,315
2016,2-17,Wed,3525,4452,258
2016,2-18,Thu,3357,4450,421
2016,2-19,Fri,3440,4949,380
2016,2-20,Sat,3251,4548,400
2016,2-21,Sun,3433,3371,299
2016,2-22,Mon,3077,5009,538
2016,2-23,Tue,3312,5113,345
2016,2-24,Wed,3235,4462,211
2016,2-25,Thu,3067,5380,502
2016,2-26,Fri,3414,6244,252
2016,2-27,Sat,3474,4436,200
2016,2-28,Sun,3171,3717,227
2016,2-29,Mon,3620,4988,249
2016,3-1,Tue,3806,5267,238
2016,3-2,Wed,3951,4486,371
2016,3-3,Thu,3229,5135,451
2016,3-4,Fri,3675,5445,520
2016,3-5,Sat,3531,4671,351
2016,3-6,Sun,3017,3384,522
2016,3-7,Mon,3661,3995,655
2016,3-8,Tue,3566,5076,222
2016,3-9,Wed,3136,4071,829
2016,3-10,Thu,3489,5098,480
2016,3-11,Fri,3389,5238,317
2016,3-12,Sat,3107,4329,108
2016,3-13,Sun,3226,4534,179
2016,3-14,Mon,3634,4507,452
2016,3-15,Tue,3162,4847,304
2016,3-16,Wed,2902,4203,272
2016,3-17,Thu,3305,4088,183
2016,3-18,Fri,3839,4526,85
2016,3-19,Sat,3456,5434,174
2016,3-20,Sun,3276,3960,119
2016,3-21,Mon,3707,6210,430
2016,3-22,Tue,4903,4555,272
2016,3-23,Wed,1430,449,55
2016,3-24,Thu,3895,4625,148
2016,3-25,Fri,3867,3272,331
2016,3-26,Sat,4449,5133,420
2016,3-27,Sun,3653,3567,204
2016,3-28,Mon,2870,3565,64
2016,3-29,Tue,3451,4783,730
2016,3-30,Wed,3736,6226,166
2016,3-31,Thu,3955,5525,974
2016,4-1,Fri,3215,5081,374
2016,4-2,Sat,3563,4347,304
2016,4-3,Sun,3120,3653,171
2016,4-4,Mon,4297,5390,315
2016,4-5,Tue,3590,5152,257
2016,4-6,Wed,3384,5483,454
2016,4-7,Thu,3978,5073,197
2016,4-8,Fri,3573,3592,89
2016,4-9,Sat,3239,4042,721
2016,4-10,Sun,3434,4215,231
2016,4-11,Mon,3338,5421,1060
2016,4-12,Tue,3849,4657,423
2016,4-13,Wed,3958,5197,212
2016,4-14,Thu,3914,3406,168
2016,4-15,Fri,3936,5094,212
2016,4-16,Sat,4459,4905,93
2016,4-17,Sun,4035,3615,42
2016,4-18,Mon,4765,5490,73
2016,4-19,Tue,4432,3887,180
2016,4-20,Wed,4609,5140,45
2016,4-21,Thu,4556,6694,72
2016,4-22,Fri,4818,4920,38
2016,4-23,Sat,3410,4049,95
2016,4-24,Sun,3871,4610,52
2016,4-25,Mon,4735,5581,67
2016,4-26,Tue,4641,5107,138
2016,4-27,Wed,3977,5087,314
2016,4-28,Thu,3750,5060,254
2016,4-29,Fri,3962,4653,195
2016,4-30,Sat,3625,4469,312
2016,5-1,Sun,3316,4364,239
2016,5-2,Mon,3961,5269,166
2016,5-3,Tue,3704,4979,200
2016,5-4,Wed,3306,3713,293
2016,5-5,Thu,3699,5849,111
2016,5-6,Fri,3327,4713,159
2016,5-7,Sat,3642,3628,219
2016,5-8,Sun,3793,5678,170
2016,5-9,Mon,3556,3952,163
2016,5-10,Tue,3390,4427,111
2016,5-11,Wed,3307,3178,155
2016,5-12,Thu,3385,4468,357
2016,5-13,Fri,3335,4686,379
2016,5-14,Sat,3050,5080,282
2016,5-15,Sun,3176,3487,159
2016,5-16,Mon,3823,4437,159
2016,5-17,Tue,3264,4453,169
2016,5-18,Wed,3261,5141,184
2016,5-19,Thu,3131,5889,135
2016,5-20,Fri,3503,5323,47
2016,5-21,Sat,3242,3162,313
2016,5-22,Sun,3072,2991,149
2016,5-23,Mon,3559,4783,134
2016,5-24,Tue,3227,5592,450
2016,5-25,Wed,3050,4532,438
2016,5-26,Thu,3080,4786,512
2016,5-27,Fri,3430,5027,228
2016,5-28,Sat,3346,4834,290
2016,5-29,Sun,2757,5147,301
2016,5-30,Mon,3323,4739,525
2016,5-31,Tue,3708,4577,361
